mom_name,mom_ID,family,mom_2_tusks,mom_0_tusks,mom_left_tusk,mom_right_tusk,mom_accuracy,notes,first_date_calf_recorded,calf_age_years,calf_age_months,calf_age_weeks,calf_age_days,calf_ID,estim_year_birth,calf_female,calf_male,calf_sex,sex_confirmed_2020,sex_confirmed,calf_2_tusks,calf_0_tusks,calf_left_tusk,calf_right_tusk
,gf0080,C,,1,,,2,20161029 and 20161024 she has a right one tusk female near her - check with earlier photos,20161024,10,,,,gf0080c,2006,1,,f,√,,,,,1
,gf0125,T,,1,,,2,20150613 seen closely associated with trail cameras; she has no breasts,20150613,10,,,,gf0126,2005,1,,f,√,yes (tuskless),,1,,
Valda,gf0068,V,,1,,,2,,20131011,11,,,,gf0066,2002,1,,f,√,yes (tuskless),,1,,
Mwana Nzo,gf0016,M,,1,,,2,She is likely daughter of gf0016 as often close to her,20121013,12,,,,gf0023,2000,1,,f,,,1,,,
,gf0220,,,1,,,2,20150626 followed by a tuskless female with small breasts - pregnant - est age ~ 12,20150626,12,,,,gf0220c,2003,1,,f,√,yes (tuskless),,1,,
,gf0125,T,,1,,,2,20150701 photographed following on trail cameras; has same ear venation as mother,20150701,12,,,,gf0125c,2003,,1,m,,,1,,,
Aurora,gf0112,A,,1,,,2,20150530 photographed in close association; she has just developing breasts and is pregnant,20150530,13,,,,gf0115,2003,1,,f,√,yes (tuskless),,1,,
,gf0205,R,,1,,,2,often together,20160630,14,,,,gf0206,2002,1,,f,√,yes (tuskless),,1,,
,gf0035,F,,1,,,2,,20121020,14,,,,gm0019,1998,,1,m,,,1,,,
,gf0060,DB,,1,,,2,20121017,20121017,14,,,,gm0029,1998,,1,m,,,1,,,
Iria,gf0045,I,,1,,,2,ck,20121020,15,,,,gf0047,1997,1,,f,,,1,,,
,gf0073,AB,,1,,,2,20131013,20131013,15,,,,gm0043,1998,,1,m,,,1,,,
Iria,gf0045,I,,1,,,2,ck,20121020,16,,,,gf0048,1996,1,,f,√,yes (tuskless),,1,,
Corajosa,gf0054,C,,1,,,2,CK,20131018,16,,,,gf0081,1997,1,,f,,,1,,,
Corajosa,gf0054,C,,1,,,2,always together CK,20160513,17,,,,gf0152,1999,1,,f,,,1,,,
,gf0205,R,,1,,,2,often together,20160630,24,,,,gf0207,1992,1,,f,,,,,1,
Mwana Nzo,gf0016,M,,1,,,2,gf0014 acts as if she is the daughter of gf0016,20121012,27,,,,gf0014,1985,1,,f,√,yes (tuskless),,1,,
,gf0058,O,,1,,,,20190928,20190928,2,,,,gf0058c,2017,,,unk,,,,,,
,gf0007,N,,1,,,,"20150709 images from trail camera show her with 2 or 3 calves in close association all female; youngest has tusks showing about 2 cm and looks to be 3 years, the next is a female of 6",20150709,6,,,,gf0007c,2009,1,,f,√,yes,1,,,
Isabella,gf0038,I,,1,,,,,20171025,8,,,,gm0211,2009,,1,m,,,1,,,
,gf0024,M,,1,,,,was pregnant in 2012 and 2013,,,,,,,,,,unk,,,,,,
,gf0203,N,,1,,,,20160610 photographed with small breasts - pregnant;,,,,,,,,,,unk,,,,,,
,gf0206,R,,1,,,,20160630 photographed on trail camera with developing breasts - pregnant,,,,,,,,,,unk,,,,,,
Ismenia,gf0132,I,1,,,,4,20161028: Female with newborn is from Junia family gf0132,20161028,0.008,,,3,gf0132c,2016,1,,f,,yes,1,,,
